gene_id,experiment_id,log2fc,padj
CCNA_00199,quintero_wt-highK_vs_wt-lowK,-0.185605888207337,0.285988085540588
CCNA_00200,quintero_wt-highK_vs_wt-lowK,-0.738178689024913,5.85148360736703e-4
CCNA_00201,quintero_wt-highK_vs_wt-lowK,-0.424628854969184,0.0270770560973696
CCNA_00202,quintero_wt-highK_vs_wt-lowK,0.277277876623188,0.100473842406303
CCNA_00203,quintero_wt-highK_vs_wt-lowK,0.0153012200227247,0.945987898384039
CCNA_00204,quintero_wt-highK_vs_wt-lowK,0.0305349725761572,0.873746835922195
CCNA_00205,quintero_wt-highK_vs_wt-lowK,0.082672509647871,0.6958895862733
CCNA_03916,quintero_wt-highK_vs_wt-lowK,-0.557144027346966,0.19055738290756
CCNA_00206,quintero_wt-highK_vs_wt-lowK,-0.425061416196231,0.017722449661162
CCNA_00207,quintero_wt-highK_vs_wt-lowK,-0.325500159684986,0.0718054776055191
CCNA_00208,quintero_wt-highK_vs_wt-lowK,0.362019803409164,0.144222823317648
CCNA_00209,quintero_wt-highK_vs_wt-lowK,0.164349944556165,0.403125561447739
CCNA_00210,quintero_wt-highK_vs_wt-lowK,0.0803642678230406,0.68843309308871
CCNA_00211,quintero_wt-highK_vs_wt-lowK,0.884445054246088,1.88918806986593e-6
CCNA_00212,quintero_wt-highK_vs_wt-lowK,1.00292460058838,1.91160527901956e-8
CCNA_00213,quintero_wt-highK_vs_wt-lowK,0.706460929767445,4.90950718647887e-4
CCNA_00214,quintero_wt-highK_vs_wt-lowK,-0.183995943367508,0.763051454305177
CCNA_R0101,quintero_wt-highK_vs_wt-lowK,0.270801544288139,0.416023387284393
CCNA_00215,quintero_wt-highK_vs_wt-lowK,1.08496813986228,9.03844432183745e-9
CCNA_00216,quintero_wt-highK_vs_wt-lowK,-0.808713726155913,7.70946349897078e-4
CCNA_00217,quintero_wt-highK_vs_wt-lowK,-0.305132987201844,0.079885505923729
CCNA_00218,quintero_wt-highK_vs_wt-lowK,0.727932171450668,6.78034298377859e-5
CCNA_00220,quintero_wt-highK_vs_wt-lowK,0.734096172590735,0.00385264815277355
CCNA_00221,quintero_wt-highK_vs_wt-lowK,0.0139323813419537,0.946800930954788
CCNA_00222,quintero_wt-highK_vs_wt-lowK,0.35829188986769,0.0325724324841082
CCNA_00223,quintero_wt-highK_vs_wt-lowK,0.529598513527932,0.00389295136025204
